name,hub_type,state,city,latitude,longitude,operator,capacity_notes,source_url
Neamati Terminal,iw_terminal,Assam,Neamati (Jorhat district),26.8000,94.1667,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with steel pontoon; cargo and passenger services; RO-PAX vessels to Majuli; Ro-Ro terminal proposed,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Bogibeel Terminal,iw_terminal,Assam,Bogibeel (Dibrugarh),27.4333,95.0167,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with steel pontoon; cargo and tourism operations; foodgrain transport trialled,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Dibrugarh Terminal,iw_terminal,Assam,Dibrugarh,27.4728,94.9120,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with steel pontoon; cargo and local ferry service; DGPS station installed,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Sengajan (Panbari) Terminal,iw_terminal,Assam,Panbari (Golaghat district),26.6200,93.7100,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with crane pontoon; supports movement of Indian Army vessels,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Oriumghat (Sadiya) Terminal,iw_terminal,Assam,Sadiya (Tinsukia district),27.8300,95.6600,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating steel pontoon; passenger connectivity and BSF/Army access; further development planned,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Kottapuram Terminal,iw_terminal,Kerala,Kottapuram (Thrissur district),10.2000,76.2000,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; cargo terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Aluva Terminal,iw_terminal,Kerala,Aluva (Ernakulam district),10.1004,76.3570,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; cargo terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Maradu (Kochi) Terminal,iw_terminal,Kerala,Maradu (Kochi),9.9489,76.3331,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; cargo and passenger terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Vaikom Terminal,iw_terminal,Kerala,Vaikom (Kottayam district),9.7270,76.3940,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Thanneermukkom Terminal,iw_terminal,Kerala,Thanneermukkom (Alappuzha district),9.6817,76.4138,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; cargo terminal at Thanneermukkom Bund; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Cherthala Terminal,iw_terminal,Kerala,Cherthala (Alappuzha district),9.7046,76.3373,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Kayamkulam Terminal,iw_terminal,Kerala,Kayamkulam (Alappuzha district),9.1774,76.5002,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Kollam Terminal,iw_terminal,Kerala,Kollam,8.8932,76.6141,Inland Waterways Authority of India (IWAI),NW-3 West Coast Canal; southern terminus terminal of West Coast Canal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways3
Vijayawada Terminals (Durga Ghat / Bhavani Island),iw_terminal,Andhra Pradesh,Vijayawada,16.5062,80.6480,Inland Waterways Authority of India (IWAI),NW-4 Krishna (Wazirabad-Vijayawada); floating terminals at Durga Ghat and Bhavani Island; operational on Muktyala-Vijayawada stretch,https://iwai.gov.in/offerings/national-waterway/national-waterways4
Amravati Terminal,iw_terminal,Andhra Pradesh,Amravati,16.5416,80.5107,Inland Waterways Authority of India (IWAI),NW-4 Krishna; floating terminal near Amravati; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways4
Vedadri Terminal,iw_terminal,Andhra Pradesh,Vedadri (NTR Jaggayyapeta district),16.8800,80.3000,Inland Waterways Authority of India (IWAI),NW-4 Krishna; floating terminal; operational,https://iwai.gov.in/offerings/national-waterway/national-waterways4
Muktyala Terminal,iw_terminal,Andhra Pradesh,Muktyala (Jaggayyapeta district),16.8671,80.3267,Inland Waterways Authority of India (IWAI),NW-4 Krishna; upstream terminal of operational Muktyala-Vijayawada stretch (82 km); Ro-Ro cargo terminal development proposed,https://iwai.gov.in/offerings/national-waterway/national-waterways4
Talcher Terminal,iw_terminal,Odisha,Talcher (Angul district),20.9526,85.2269,Inland Waterways Authority of India (IWAI),NW-5 Brahmani-Mahanadi delta; coal-loading terminal at head of waterway; coal moved Talcher to Dhamra,https://jalshakti-data.gov.in/JSDV_EventAnalysis/getDownloadpdf?path=/srv/WARIMS/PDF_Reports/National%20Waterway%205.pdf
Jenapur Terminal,iw_terminal,Odisha,Jenapur (Jajpur district),20.8000,86.1667,Inland Waterways Authority of India (IWAI),NW-5 Brahmani-Mahanadi delta; terminal on Brahmani river,https://jalshakti-data.gov.in/JSDV_EventAnalysis/getDownloadpdf?path=/srv/WARIMS/PDF_Reports/National%20Waterway%205.pdf
Pankapal Terminal,iw_terminal,Odisha,Pankapal (Jajpur district),20.7700,86.1500,Inland Waterways Authority of India (IWAI),NW-5 Brahmani-Mahanadi delta; terminal on Brahmani river,https://jalshakti-data.gov.in/JSDV_EventAnalysis/getDownloadpdf?path=/srv/WARIMS/PDF_Reports/National%20Waterway%205.pdf
Dhamra Terminal,iw_terminal,Odisha,Dhamra (Bhadrak district),20.7800,86.8900,Inland Waterways Authority of India (IWAI),NW-5 Brahmani-Mahanadi delta; terminal at Brahmani mouth linking to Dhamra Port,https://jalshakti-data.gov.in/JSDV_EventAnalysis/getDownloadpdf?path=/srv/WARIMS/PDF_Reports/National%20Waterway%205.pdf
Paradip Terminal,iw_terminal,Odisha,Paradip,20.2667,86.7000,Inland Waterways Authority of India (IWAI),NW-5 Brahmani-Mahanadi delta; terminal on East Coast Canal/Matai river linking to Paradip Port,https://jalshakti-data.gov.in/JSDV_EventAnalysis/getDownloadpdf?path=/srv/WARIMS/PDF_Reports/National%20Waterway%205.pdf
Nasirabad Terminal,iw_terminal,Odisha,Nasirabad (Bhadrak district),21.0000,86.6500,Inland Waterways Authority of India (IWAI),NW-5 Brahmani-Mahanadi delta; terminal on East Coast Canal system (approx location),https://jalshakti-data.gov.in/JSDV_EventAnalysis/getDownloadpdf?path=/srv/WARIMS/PDF_Reports/National%20Waterway%205.pdf
Karimganj Terminal,iw_terminal,Assam,Karimganj,24.8744,92.3519,Inland Waterways Authority of India (IWAI),NW-16 Barak; operational terminal on Indo-Bangladesh Protocol route; under renovation/upgradation by IWAI,https://iwai.gov.in/offerings/national-waterway/national-waterways16
Badarpur Terminal,iw_terminal,Assam,Badarpur (Karimganj district),24.8964,92.4883,Inland Waterways Authority of India (IWAI),NW-16 Barak; operational terminal; under renovation/upgradation by IWAI,https://iwai.gov.in/offerings/national-waterway/national-waterways16
Silchar Terminal,iw_terminal,Assam,Silchar,24.8333,92.7789,Inland Waterways Authority of India (IWAI),NW-16 Barak; new floating terminal being developed,https://iwai.gov.in/offerings/national-waterway/national-waterways16
Lakhipur Terminal,iw_terminal,Assam,Lakhipur (Cachar district),24.7833,93.0000,Inland Waterways Authority of India (IWAI),NW-16 Barak; terminal at upstream limit of Lakhipur-Bhanga waterway; being developed,https://iwai.gov.in/offerings/national-waterway/national-waterways16
